City,t,p,n_pre,n_post,mean_pre,mean_post,diff_post_minus_pre
Vancouver,9.031047482328338,2.0769350255796623e-19,4312,4236,202.90816326530611,248.0967894239849,45.18862615867877
Victoria,3.94768769424745,7.98405160192503e-05,3119,2812,198.87688361654375,221.71728307254622,22.840399456002473
