City,Period,mean_price,std_price,n
Vancouver,Post,248.0967894239849,217.3927975117772,4236
Vancouver,Pre,202.90816326530611,244.64656816598014,4312
Victoria,Post,221.71728307254622,195.2624776086777,2812
Victoria,Pre,198.87688361654375,249.23648175348126,3119
