group1,group2,meandiff,p_adj,lower,upper,reject
Vancouver | Post,Vancouver | Pre,-45.18862615867877,1.1954437439953836e-11,-57.91646630364621,-32.460786013711335,True
Vancouver | Post,Victoria | Post,-26.379506351438664,1.3090367362411648e-05,-40.69107114226141,-12.067941560615921,True
Vancouver | Post,Victoria | Pre,-49.21990580744114,1.1954437439953836e-11,-63.10169620480815,-35.338115410074124,True
Vancouver | Pre,Victoria | Post,18.80911980724011,0.003927223600612262,4.547963880007545,33.07027573447267,True
Vancouver | Pre,Victoria | Pre,-4.031279648762364,0.877152994402998,-17.861094768833723,9.798535471308995,False
Victoria | Post,Victoria | Pre,-22.840399456002473,0.0007258822625650918,-38.14029351646665,-7.540505395538299,True
