,sum_sq,df,F,PR(>F)
C(_City),769004.0925169511,1.0,14.66522981917818,0.0001289343373963576
C(_Period),4698395.33335197,1.0,89.60036495962092,3.356588262510736e-21
C(_City):C(_Period),436493.4325717961,1.0,8.324112401373522,0.003918001138383897
Residual,759028966.9123408,14475.0,,
