City,Period,licensed_share,licensed_n,n
Vancouver,Pre,0.7263450834879406,3132,4312
Vancouver,Post,0.7351274787535411,3114,4236
Victoria,Pre,0.007053542802180186,22,3119
Victoria,Post,0.0,0,2812
