city,month,neighbourhood,listings_count,area_km2,density_per_km2
Victoria,2025-05,Hillside/Quadra,8,1.6581539150959224,4.824642590273177
Victoria,2025-05,James Bay,125,2.385491572696243,52.40010127502425
Victoria,2025-05,Juan de Fuca,369,2901.212453944296,0.127188203503791
Victoria,2025-05,Langford,364,41.67720538021727,8.73379096989018
Victoria,2025-05,Metchosin,36,79.0125283614012,0.45562394656372673
Victoria,2025-05,North Jubilee,11,0.6296378353277751,17.470360551432954
Victoria,2025-05,North Park,14,0.5547658333349055,25.235872793103983
Victoria,2025-05,North Saanich,94,46.99223107240723,2.000330647318311
Victoria,2025-05,Oak Bay,72,15.619489815371315,4.609625592837482
Victoria,2025-05,Oaklands,25,1.745063022862093,14.326130158323615
Victoria,2025-05,Rockland,41,1.2770765188193576,32.104575877649076
Victoria,2025-05,Saanich,589,113.94765584395373,5.169040079302811
Victoria,2025-05,Salt Spring Island,316,304.0239379463736,1.0393918391246508
Victoria,2025-05,Sidney,60,7.334059319838695,8.181008277053264
Victoria,2025-05,Sooke,177,68.07459584516091,2.6000888848843906
Victoria,2025-05,South Jubilee,6,0.37903552887335684,15.829650634161835
Victoria,2025-05,Southern Gulf Islands,208,1105.7833537644108,0.1881019453692326
Victoria,2025-05,Victoria West,43,1.5794902626423177,27.22397283289712
Victoria,2025-05,View Royal,41,17.006456273706412,2.4108491116629556
